sensor_id,date_created,last_seen,latitude,longitude,humidity,pm25
172059,1669744396,1755379272,32.69901,-117.17089,38.0,4.3
175527,1677783260,1755379255,32.82382,-117.26082,45.0,2.5
176843,1678830538,1755379310,32.7192,-117.1318,40.0,4.4
186691,1688424959,1755379249,33.15742,-117.2413,40.0,0.0
187971,1689199650,1755369123,33.168182,-117.23892,29.0,6.1
188113,1689279465,1755379295,32.583782,-117.13275,66.0,8.9
197269,1696173461,1755379286,32.693466,-117.185165,43.0,2.3
198641,1697043134,1755379259,32.71743,-117.17044,59.0,4.9
213405,1707599148,1755379250,32.90627,-117.08692,41.0,7.7
219979,1711638745,1755379326,33.15568,-117.07309,38.0,7.2
220133,1712004442,1755379295,32.51864,-117.10096,55.0,5.8
227309,1717621988,1755379236,33.097404,-117.00032,26.0,8.4
232247,1720802803,1755379256,33.023247,-116.94537,30.0,5.9
236171,1722903986,1755379245,33.066093,-117.28129,37.0,5.6
238073,1723754217,1755379274,32.798492,-117.1256,42.0,7.6
239745,1724715814,1755379286,33.001778,-117.26031,40.0,4.6
244465,1727109342,1755379322,32.731956,-117.08006,30.0,9.0
249063,1729712047,1755379221,32.99168,-117.15472,45.0,6.6
249421,1729883486,1755379258,32.787815,-116.98936,24.0,6.1
258225,1736726635,1755379229,32.767563,-116.94858,45.0,7.3
260745,1737579373,1755379259,32.901604,-117.158295,22.0,4.2
